緯度,経度,場所
34.712238,135.260943,1
34.70943,135.259158,1
34.71327,135.256073,1
34.709788,135.254648,1
34.709601,135.252659,1
34.694738,135.2818,1
34.695777,135.270832,1
34.695517,135.266244,1
34.684448,135.273306,1
34.686637,135.272952,1
34.683717,135.266986,1
34.685828,135.266003,1
34.694079,135.278714,1
34.689498,135.272694,1
34.692053,135.272054,1
34.688439,135.26621,1
34.691815,135.265543,1
34.683338,135.258839,1
34.688985,135.261889,1
34.691309,135.25371,1
34.689451,135.257426,1
34.693759,135.259536,1
34.681163,135.268459,1
34.68502,135.283205,1
34.726573,135.243568,1
34.730575,135.244114,1
34.753965,135.22812,1
34.703775,135.245121,1
34.735569,135.243533,1
34.719323,135.247039,1
34.71808,135.247606,1
34.716674,135.246832,1
34.715538,135.247393,1
34.720326,135.245776,1
34.717143,135.247965,1
34.714262,135.247839,1
34.713869,135.246782,1
34.716008,135.248661,1
34.714642,135.248935,1
34.69586,135.227183,1
34.737448,135.235904,1
34.735476,135.236447,1
34.736252,135.231685,1
34.735506,135.229462,1
34.728272,135.242122,1
34.728118,135.2409,1
34.723756,135.234842,1
34.723666,135.235957,1
34.7232,135.232281,1
34.723046,135.243171,1
34.723168,135.241324,1
34.724293,135.23848,1
34.722781,135.235525,1
34.727969,135.239125,1
34.731237,135.237453,1
34.732757,135.236114,1
34.73421,135.233339,1
34.725898,135.223468,1
34.725048,135.230469,1
34.724209,135.228101,1
34.727792,135.234695,1
34.725384,135.231709,1
34.723249,135.229466,1
34.725004,135.221836,1
34.723864,135.221196,1
34.727157,135.22996,1
34.731002,135.229445,1
34.729887,135.227536,1
34.727362,135.226863,1
34.732946,135.223179,1
34.724913,135.218465,1
34.733307,135.212404,1
34.736464,135.201877,1
34.721147,135.242229,1
34.713436,135.239291,1
34.712618,135.239657,1
34.717424,135.237609,1
34.717208,135.236466,1
34.722048,135.237514,1
34.722034,135.236022,1
34.721455,135.234657,1
34.722288,135.234205,1
34.721146,135.233167,1
34.715173,135.24625,1
34.713496,135.245648,1
34.713145,135.244607,1
34.712782,135.243509,1
34.71382,135.243038,1
34.712335,135.242417,1
34.713449,135.241926,1
34.714365,135.24135,1
34.713069,135.240581,1
34.714059,135.240364,1
34.71355,135.237906,1
34.714021,135.236465,1
34.713425,135.235498,1
34.71293,135.234681,1
34.712559,135.233915,1
34.713536,135.233823,1
34.713067,135.232498,1
34.717815,135.246363,1
34.719001,135.245813,1
34.716287,135.245715,1
34.717474,135.245323,1
34.721765,135.244933,1
34.714766,135.245089,1
34.715911,135.244552,1
34.714413,135.243885,1
34.718683,135.244648,1
34.719861,135.244089,1
34.72144,135.243364,1
34.717128,135.244001,1
34.715567,135.24344,1
34.718337,135.243471,1
34.71952,135.242951,1
34.716789,135.242743,1
34.717914,135.242457,1
34.719197,135.241914,1
34.715005,135.242454,1
34.716386,135.241757,1
34.718834,135.240851,1
34.717469,135.241311,1
34.715605,135.240878,1
34.716786,135.24032,1
34.720841,135.241086,1
34.717774,135.238718,1
34.717324,135.239318,1
34.718537,135.239839,1
34.715025,135.239926,1
34.71435,135.238899,1
34.716108,135.239429,1
34.722822,135.239825,1
34.720457,135.240007,1
34.722397,135.23854,1
34.715413,135.238444,1
34.720067,135.238773,1
34.716527,135.237985,1
34.714681,135.23741,1
34.715972,135.236883,1
34.719081,135.236581,1
34.719388,135.237852,1
34.721223,135.23649,1
34.720601,135.23483,1
34.715247,135.235863,1
34.716761,135.23524,1
34.714438,135.233083,1
34.71861,135.235159,1
34.714879,135.234856,1
34.716447,135.234138,1
34.718047,135.233631,1
34.71974,135.233486,1
34.722082,135.232757,1
34.716005,135.232754,1
34.717675,135.232269,1
34.71636,135.222074,1
34.712934,135.21807,1
34.719443,135.231496,1
34.721124,135.231413,1
34.718716,135.223749,1
34.717163,135.219784,1
34.717312,135.217596,1
34.721371,135.222398,1
34.718693,135.216897,1
34.72445,135.215376,1
34.715153,135.23273,1
34.714264,135.231571,1
34.71286,135.231608,1
34.714139,135.23102,1
34.712555,135.230764,1
34.713793,135.230175,1
34.715058,135.229612,1
34.713599,135.22902,1
34.714614,135.228514,1
34.712733,135.228343,1
34.712295,135.22708,1
34.713292,135.227389,1
34.713983,135.227193,1
34.71259,135.225486,1
34.713552,135.225089,1
34.714237,135.224814,1
34.712807,135.224075,1
34.713717,135.223679,1
34.714443,135.223385,1
34.712511,135.223049,1
34.7133,135.222768,1
34.713959,135.222507,1
34.712927,135.22196,1
34.713418,135.221867,1
34.712106,135.220519,1
34.712589,135.221278,1
34.713289,135.220921,1
34.714209,135.221387,1
34.713905,135.220518,1
34.714613,135.219966,1
34.712526,135.219898,1
34.713539,135.219692,1
34.714315,135.218665,1
34.713753,135.217552,1
34.715784,135.231519,1
34.717328,135.231181,1
34.715558,135.230982,1
34.715365,135.23048,1
34.723015,135.230894,1
34.716867,135.230129,1
34.718652,135.230328,1
34.721138,135.229804,1
34.716379,135.229231,1
34.719524,135.229318,1
34.715867,135.22795,1
34.717747,135.22819,1
34.721144,135.228116,1
34.718546,135.226818,1
34.715201,135.226596,1
34.71498,135.225667,1
34.720777,135.226033,1
34.717973,135.224145,1
34.717558,135.225912,1
34.715918,135.224905,1
34.715108,135.22451,1
34.716598,135.224785,1
34.719725,135.224896,1
34.717336,135.224464,1
34.715503,135.223915,1
34.71474,135.22233,1
34.716095,135.223717,1
34.716886,135.223337,1
34.717546,135.223025,1
34.718284,135.222674,1
34.723331,135.223297,1
34.719416,135.222934,1
34.718803,135.221051,1
34.720118,135.222403,1
34.715585,135.222323,1
34.714964,135.220976,1
34.715697,135.220615,1
34.72168,135.221401,1
34.716954,135.221497,1
34.717765,135.221213,1
34.715973,135.219048,1
34.716317,135.22016,1
34.715291,135.21955,1
34.719656,135.220759,1
34.718215,135.219537,1
34.720251,135.220211,1
34.719512,135.21827,1
34.721025,135.219984,1
34.721982,135.219735,1
34.718892,135.218828,1
34.718014,135.217019,1
34.716781,135.218495,1
34.715167,135.218041,1
34.720183,135.218135,1
34.72099,135.217856,1
34.716153,135.21708,1
34.715079,135.210321,1
34.71731,135.212864,1
34.725218,135.205258,1
34.724342,135.199831,1
34.718917,135.215888,1
34.722724,135.211274,1
34.7181,135.214154,1
34.719716,135.215007,1
34.714651,135.216685,1
34.715789,135.215986,1
34.714088,135.215012,1
34.71409,135.211945,1
34.71518,135.213957,1
34.713235,135.215945,1
34.712409,135.216827,1
34.71654,135.210357,1
34.71252,135.237163,1
34.711889,135.24149,1
34.712073,135.232952,1
34.709062,135.243857,1
34.711036,135.242946,1
34.708789,135.242573,1
34.71055,135.241978,1
34.71018,135.240878,1
34.71154,135.240189,1
34.709732,135.239742,1
34.711178,135.239181,1
34.708057,135.240479,1
34.71227,135.238519,1
34.706929,135.239408,1
34.709299,135.238625,1
34.708883,135.237549,1
34.710807,135.23798,1
34.710006,135.235743,1
34.710303,135.237026,1
34.711774,135.236361,1
34.708435,135.236363,1
34.706176,135.237371,1
34.708078,135.235378,1
34.70761,135.234366,1
34.704244,135.234383,1
34.704008,135.232785,1
34.711445,135.235047,1
34.711122,135.23425,1
34.709657,135.234623,1
34.704955,135.236086,1
34.710906,135.233758,1
34.709293,135.233529,1
34.710756,135.232868,1
34.711799,135.232082,1
34.707199,135.232923,1
34.704757,135.218076,1
34.712088,135.221738,1
34.70873,135.222214,1
34.709456,135.221851,1
