緯度,経度,場所
34.71474,135.22233,神戸市灘区福住通三丁目
34.716095,135.223717,神戸市灘区天城通二丁目
34.716886,135.223337,神戸市灘区畑原通二丁目
34.717546,135.223025,神戸市灘区赤坂通二丁目
34.718284,135.222674,神戸市灘区上野通二丁目
34.723331,135.223297,神戸市灘区篠原北町四丁目
34.719416,135.222934,神戸市灘区国玉通一丁目
34.718803,135.221051,神戸市灘区国玉通二丁目
34.720118,135.222403,神戸市灘区薬師通一丁目
34.715585,135.222323,神戸市灘区天城通三丁目
34.714964,135.220976,神戸市灘区天城通四丁目
34.715697,135.220615,神戸市灘区畑原通四丁目
34.72168,135.221401,神戸市灘区高尾通一丁目
34.716954,135.221497,神戸市灘区赤坂通三丁目
34.717765,135.221213,神戸市灘区上野通三丁目
34.715973,135.219048,神戸市灘区赤坂通五丁目
34.716317,135.22016,神戸市灘区赤坂通四丁目
34.715291,135.21955,神戸市灘区畑原通五丁目
34.719656,135.220759,神戸市灘区薬師通二丁目
34.718215,135.219537,神戸市灘区国玉通三丁目
34.720251,135.220211,神戸市灘区五毛通二丁目
34.719512,135.21827,神戸市灘区五毛通三丁目
34.721025,135.219984,神戸市灘区高尾通二丁目
34.721982,135.219735,神戸市灘区箕岡通二丁目
34.718892,135.218828,神戸市灘区薬師通三丁目
34.718014,135.217019,神戸市灘区薬師通四丁目
34.716781,135.218495,神戸市灘区上野通五丁目
34.715167,135.218041,神戸市灘区赤坂通六丁目
34.720183,135.218135,神戸市灘区高尾通三丁目
34.72099,135.217856,神戸市灘区箕岡通三丁目
34.716153,135.21708,神戸市灘区上野通六丁目
34.715079,135.210321,神戸市灘区青谷町四丁目
34.71731,135.212864,神戸市灘区城の下通二丁目
34.725218,135.205258,神戸市灘区原田
34.724342,135.199831,神戸市灘区岩屋
34.718917,135.215888,神戸市灘区高尾通四丁目
34.722724,135.211274,神戸市灘区上野
34.7181,135.214154,神戸市灘区城の下通一丁目
34.719716,135.215007,神戸市灘区箕岡通四丁目
34.714651,135.216685,神戸市灘区赤坂通七丁目
34.715789,135.215986,神戸市灘区上野通七丁目
34.714088,135.215012,神戸市灘区赤坂通八丁目
34.71409,135.211945,神戸市灘区青谷町三丁目
